"review_id","product_id","rating","title","review_text","gpt_judgement_feature_1","human_check_feature_1","human_comment_feature_1","final_feature_1","gpt_judgement_feature_2","human_check_feature_2","human_comment_feature_2","final_feature_2","gpt_judgement_feature_3","human_check_feature_3","human_comment_feature_3","final_feature_3","gpt_judgement_feature_4","human_check_feature_4","human_comment_feature_4","final_feature_4","gpt_judgement_feature_5","human_check_feature_5","human_comment_feature_5","final_feature_5","gpt_judgement_feature_6","human_check_feature_6","human_comment_feature_6","final_feature_6","gpt_judgement_feature_7","human_check_feature_7","human_comment_feature_7","final_feature_7","gpt_judgement_feature_8","human_check_feature_8","human_comment_feature_8","final_feature_8","gpt_judgement_feature_9","human_check_feature_9","human_comment_feature_9","final_feature_9","gpt_judgement_feature_10","human_check_feature_10","human_comment_feature_10","final_feature_10","gpt_judgement_feature_11","human_check_feature_11","human_comment_feature_11","final_feature_11","gpt_judgement_feature_12","human_check_feature_12","human_comment_feature_12","final_feature_12","gpt_judgement_feature_13","human_check_feature_13","human_comment_feature_13","final_feature_13","gpt_judgement_feature_14","human_check_feature_14","human_comment_feature_14","final_feature_14","gpt_judgement_feature_15","human_check_feature_15","human_comment_feature_15","final_feature_15","gpt_judgement_feature_16","human_check_feature_16","human_comment_feature_16","final_feature_16","gpt_judgement_feature_17","human_check_feature_17","human_comment_feature_17","final_feature_17","gpt_judgement_feature_18","human_check_feature_18","human_comment_feature_18","final_feature_18","gpt_judgement_feature_19","human_check_feature_19","human_comment_feature_19","final_feature_19","gpt_judgement_feature_20","human_check_feature_20","human_comment_feature_20","final_feature_20"
"0","B00000K2YV","1.0","Don't bother","I attached the antenna to the rear window on my Jeep Wrangler, and hooked it up to a Cobra radio. Reception was poor at anything over 30 yards. Transmission was nil. I don't know if the factory window tint had anything to do with the poor performance, but there was nothing in the instructions to indicate that. On a positive note, it was very simple to install.","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0"
"1","B00001P4ZH","1.0","Really? SO OVER HYPED THIS IS CRAP.","Really though? Maybe its because i've listened to much better before. If you use the Sennheiser cx300, this will sound like CRAP.No sound isolation, i already knew that, but i thought everything else would make up for it. There's like no bass, barely any. The volume sucks, has to be louder.At first, after reading all these awesome reviews, i thought i was going crazy. But i plugged them into my computer, my mp3, my ipod, my stereo system. They're horrible.I expected this, most over the head earphones have leather cups, these had foam. They make your ears hot. And they exhibit horrible sound. Oh man, returned these the next day. Have to pay shipping costs. Don't buy these. Please. Worth like 3 bucks.And they feel like their gonna break everytime i touch them.","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","複数の具体的な使用機器との組み合わせについて説明があるため、1とすべき","0","0","1","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1"
"2","1400532736","1.0","Barnes and Noble Customer Service? Not happening.","No stars. Be warned, potential B&N customer: if you have a problem with a defective brand-new, just-delivered Nook device, you're likely headed for Customer Service hell. Be prepared to meet with an army of know-nothing, apparently deceptive incompetents. Any merits of B&N's Nook products are offset by the company's Customer Service from hell. Today, trying to resolve the problem of having just received a Nook Simple Touch lemon, I've been lied to, hung up on, and received no help at all. The return call, promised by a supervisor at around six this evening, never came. So, around 4 hours later, I called back and spoke to another supervisor, identifying myself and asking for help. This call was disconnected on B&N's side, and that supervisor never called me back or emailed me to provide service. I've also been advised that I'll have to wait quite a while for a replacement Nook, though I live in Manhattan and the site promises same-day Manhattan delivery. I'd read reviews on the B&N site and, I believe, on Amazon as well, about B&N's horrific so-called Customer Service. I can see now, from experience, that the horror stories are true. So if you buy a Nook from B&N and get a lemon, as can happen with any e-device, you're going to find yourself quite alone with your problem. Whatever the merits of the Kindle, I know from experience that Amazon Customer Service lives up to its name. B&N Customer Service is essentially an insult to customers. I don't work for either company. I'm just a customer with a brand-new defective Nook Simple Touch, and I can't get any help from B&N. So if you look at the numbers and see that Kindles far outsell Nooks, B&N's misnamed Customer Service is likely at least part of the reason.","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","製品自体の具体的な制限や欠点についての言及はなく、主にカスタマーサービスの問題について述べているため、0とすべき","0","1","1","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","不良品という言及はあるものの、具体的な品質や耐久性の問題についての説明がないため、0とすべき","1","1","1","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1"
"3","140053271X","1.0","Poor screen quality and service","I enjoyed the original Nook. I thought this would be a great device, especially since it received such positive responses from reviewers on several sites.I've had the Nook (3 of them, actually) and am returning it before my 14 day window is up.First, the buttons are annoying to use. I like having the option to tap the screen, but I'd rather keep it as clean and clear as possible. Simply hard to press the buttons down. They don't seem to be getting any easier after finishing a book.Second, and most importantly, is the contrast and quality of the screen. Different letters are darker than others on every page, within words, and they change every time I go to the next page and back. I thought it might have just been something weird with the files, or formatting, so I played around and did the troubleshooting. Nope. It's just horrible to look at.After having 3 with the same problem, I'm going to just send it back. No need to go through that cycle and then be stuck dealing with the awful customer service. It's too bad; I really wanted to support Barnes and Noble by using their reader.Note: I put this review on the B&N; site, and they removed it for somehow violating their terms. Well, okay then.","0","0","画面表示の技術的な問題（コントラスト、文字の濃さの変化など）や操作インターフェースについて具体的な説明があるため、1とすべき","0","0","1","判定が不適切な場合、その理由や気づきを記入","1","0","0","14日以内の返品を予定しており、短期間の使用経験しか述べられていないため、0とすべき","0","1","1","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","カスタマーサービスについての言及はあるものの、具体的なサポート経験の記述がないため、0とすべき","0","1","1","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0"
"4","B00000JD4T","1.0","DECEITFUL SELLERS = JR MUSIC & Amazon","JR Music and Amazon must be KIDDING to think that they do not need to have a policy to make it obvious that this is a USED product. To bury the fact that this item is ""reconditioned"" at the very BOTTOM of a multi-page description instead of in the TITLE or first line is deceitful! They are selling used goods as new and treating the fact that this item is used as part of a disclaimer buried so far down that they know most people will not notice it.","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0"
"5","B00000J1E6","1.0","Just awful","After reading the reviews on here I was hesitant to use the product I had just purchased. But I figured what could I lose - it was already skipping and if this didn't work, I'd just buy a new copy.Well I'm here to tell you that if you plan to use this on anything important, forget it. The CD was left with more scratches than before (the ""protective"" pad actually MAKES scratches WORSE than a paper towel...) and it's just a horrible product. I followed the directions to a T. Thanks Maxell for wasting my money and my time.","1","1","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定は不適切です。「if you plan to use this on anything important, forget it」という他のユーザーへの明確なアドバイスが含まれています。","1","0","1","判定は不適切です。「if you plan to use this on anything important, forget it」という他のユーザーへの明確なアドバイスが含まれています。","1"
"17","B00004THCZ","2.0","To old for today's cameras","Look at the price folks. That says it all! Unless you need this lens for a special reason then don't bother. If you know how to use this lens then go for it. But, as I stated before, look at the price. There is a good reason why it's cost is a lot lower than the IS lenses. If you are going the distance and paying for a state of the art camera then don't ask it to use old types of lenses and expect spectacular results.","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1"
"18","9625993428","2.0","Not better than Nexus 4 internal mic.","Not as good as the built in mic of my Nexus 4, which I was looking to improve. There's some static on all recordings, and I'm not sure what to do about it. It was cheap, so I'm not too broken hearted about it...","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","There's some static on all recordings, and I'm not sure what to do about itと言ってる。どの録音でも雑音が入るというのは製品、つまりマイクの品質について言及していると言って良い。","1","0","1","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0"
"30","B00001OPJQ","3.0","Nice unit.....but be extremely careful...","I used to have a lot of respect for TEAC products, but some years back they took the cheaply-made consumer electronics route and it's been downhill ever since. That said, this is a decent machine, and I enjoyed it during its short life. Shortly after my warranty expired (of course), I accidentally bumped the CD tray when it was open one day, knocking the gears and everything out of whack, and it was all over....never could get the tray to go back in right or the CD door to stay closed. The unit is now with a pile waiting to go to the dump and was essentially a couple hundred bucks flushed down the toilet. Handle with care!!","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1"
"31","1400532655","3.0","Quality Hardware, Decent Interface, Lackluster App Support","The Nook Color is a mixed bag of a product with some highs and lows.The hardware on the Nook Color is very nice.The screen, though not a super hi-def retina like high end tabs, is bright and great for books, video, comics, etc. It feels solid and sturdy but not overly heavy. A nice addition is the SD Card slot hidden in the back which can be used to expand storage or, if you're resourceful (or purchase a Nook 2 Android card) convert your Nook into a full-fledged Android tablet on the cheap.The Interface in the Nook Color is adequate but not amazing.Barnes and Noble created their own ""flavor"" of Android for this reader. While it's not highly customization or super elegant it's well suited for the intended purposes of this tablet: media consumption. As noted above, this reader can run full Android quite well if modded, and still run a Nook App.Lackluster AppsApp support for this reader is very spartan. You'll find some simple games, Netflix (finally) and a few others, but it's not a lot to write home about.If you want a simple reader with a nice screen for ereading, this isn't a bad buy if you can get one at a good price (I wouldn't pay more than 110 at the moment). Otherwise, it's a great Android tablet if you mod it yourself or take the safer route of using a Nook 2 Android card).","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","0","0","判定が不適切な場合、その理由や気づきを記入","0","1","0","判定が不適切な場合、その理由や気づきを記入","1"
