feature1_id,feature1_desc,feature2_id,feature2_desc,bert_similarity,bleu_similarity
1,Contains mentions of price or cost,2,Includes technical details or specifications,0.6790235638618469,0.0439891724758422
1,Contains mentions of price or cost,3,Contains comparisons with competing products,0.6948331743478775,0.0439891724758422
1,Contains mentions of price or cost,4,Mentions long-term usage experience,0.6632831543684006,0.04873039689743777
1,Contains mentions of price or cost,5,Explains specific use cases or purposes,0.6466412991285324,0.040824829046386304
1,Contains mentions of price or cost,6,Describes initial setup or installation experience,0.5465878136456013,0.040824829046386304
1,Contains mentions of price or cost,7,Specifically mentions product limitations or drawbacks,0.6918427795171738,0.048549177170732344
1,Contains mentions of price or cost,8,Compares with previous similar products used,0.6452499032020569,0.0
1,Contains mentions of price or cost,9,References brand reliability or reputation,0.6321890950202942,0.0439891724758422
1,Contains mentions of price or cost,10,Explains purchase decision process,0.6758422702550888,0.0
1,Contains mentions of price or cost,11,Reports unexpected issues or discoveries,0.5904399156570435,0.0439891724758422
1,Contains mentions of price or cost,12,Mentions product durability or quality,0.7012482434511185,0.05231223689135342
1,Contains mentions of price or cost,13,Indicates intention to return or exchange,0.5680579543113708,0.040824829046386304
1,Contains mentions of price or cost,14,Contains suggestions for improvement,0.7004572451114655,0.04873039689743777
1,Contains mentions of price or cost,15,Clearly indicates recommended user groups,0.5953978598117828,0.0
1,Contains mentions of price or cost,16,Mentions packaging or included accessories,0.7240866422653198,0.05231223689135342
1,Contains mentions of price or cost,17,Describes customer support experience,0.5995906740427017,0.0
1,Contains mentions of price or cost,18,Explains product usage environment,0.6637791097164154,0.0
1,Contains mentions of price or cost,19,References match/mismatch with expectations,0.5980276465415955,0.0
1,Contains mentions of price or cost,20,Includes advice for other users,0.6424036473035812,0.0
2,Includes technical details or specifications,3,Contains comparisons with competing products,0.5679421573877335,0.0
2,Includes technical details or specifications,4,Mentions long-term usage experience,0.5681541413068771,0.0
2,Includes technical details or specifications,5,Explains specific use cases or purposes,0.6934535503387451,0.040824829046386304
2,Includes technical details or specifications,6,Describes initial setup or installation experience,0.6872440278530121,0.040824829046386304
2,Includes technical details or specifications,7,Specifically mentions product limitations or drawbacks,0.7215599417686462,0.040824829046386304
2,Includes technical details or specifications,8,Compares with previous similar products used,0.5579766482114792,0.0
2,Includes technical details or specifications,9,References brand reliability or reputation,0.5754032656550407,0.05372849659117709
2,Includes technical details or specifications,10,Explains purchase decision process,0.6403155773878098,0.0
2,Includes technical details or specifications,11,Reports unexpected issues or discoveries,0.5856053084135056,0.05372849659117709
2,Includes technical details or specifications,12,Mentions product durability or quality,0.6738796830177307,0.05372849659117709
2,Includes technical details or specifications,13,Indicates intention to return or exchange,0.5339648611843586,0.040824829046386304
2,Includes technical details or specifications,14,Contains suggestions for improvement,0.6025509983301163,0.0
2,Includes technical details or specifications,15,Clearly indicates recommended user groups,0.5505191162228584,0.0
2,Includes technical details or specifications,16,Mentions packaging or included accessories,0.7215083539485931,0.05372849659117709
2,Includes technical details or specifications,17,Describes customer support experience,0.6619413197040558,0.0
2,Includes technical details or specifications,18,Explains product usage environment,0.6595779359340668,0.0
2,Includes technical details or specifications,19,References match/mismatch with expectations,0.5095984023064375,0.0
2,Includes technical details or specifications,20,Includes advice for other users,0.6337220072746277,0.05372849659117709
3,Contains comparisons with competing products,4,Mentions long-term usage experience,0.5265205893665552,0.0
3,Contains comparisons with competing products,5,Explains specific use cases or purposes,0.5690054222941399,0.0
3,Contains comparisons with competing products,6,Describes initial setup or installation experience,0.48578493669629097,0.0
3,Contains comparisons with competing products,7,Specifically mentions product limitations or drawbacks,0.6580563336610794,0.0
3,Contains comparisons with competing products,8,Compares with previous similar products used,0.8207509517669678,0.048549177170732344
3,Contains comparisons with competing products,9,References brand reliability or reputation,0.6383253633975983,0.0
3,Contains comparisons with competing products,10,Explains purchase decision process,0.5828845053911209,0.0
3,Contains comparisons with competing products,11,Reports unexpected issues or discoveries,0.5605931468307972,0.0
3,Contains comparisons with competing products,12,Mentions product durability or quality,0.6730557978153229,0.0
3,Contains comparisons with competing products,13,Indicates intention to return or exchange,0.5360410585999489,0.0
