review_text,rating,product_id,time,summary
"I attached the antenna to the rear window on my Jeep Wrangler, and hooked it up to a Cobra radio.  Reception was poor at anything over 30 yards. Transmission was nil. I don't know if the factory window tint had anything to do with the poor performance, but there was nothing in the instructions to indicate that.  On a positive note, it was very simple to install.",1.0,B00000K2YV,1300233600,Don't bother
"Really though? Maybe its because i've listened to much better before. If you use the Sennheiser cx300, this will sound like CRAP.No sound isolation, i already knew that, but i thought everything else would make up for it. There's like no bass, barely any. The volume sucks, has to be louder.At first, after reading all these awesome reviews, i thought i was going crazy. But i plugged them into my computer, my mp3, my ipod, my stereo system. They're horrible.I expected this, most over the head earphones have leather cups, these had foam. They make your ears hot. And they exhibit horrible sound. Oh man, returned these the next day. Have to pay shipping costs. Don't buy these. Please. Worth like 3 bucks.And they feel like their gonna break everytime i touch them.",1.0,B00001P4ZH,1291766400,Really? SO OVER HYPED THIS IS CRAP.
"No stars. Be warned, potential B&N customer: if you have a problem with a defective brand-new, just-delivered Nook device, you're likely headed for Customer Service hell. Be prepared to meet with an army of know-nothing, apparently deceptive incompetents. Any merits of B&N's Nook products are offset by the company's Customer Service from hell. Today, trying to resolve the problem of having just received a Nook Simple Touch lemon, I've been lied to, hung up on, and received no help at all. The return call, promised by a supervisor at around six this evening, never came. So, around 4 hours later, I called back and spoke to another supervisor, identifying myself and asking for help. This call was disconnected on B&N's side, and that supervisor never called me back or emailed me to provide service.  I've also been advised that I'll have to wait quite a while for a replacement Nook, though I live in Manhattan and the site promises same-day Manhattan delivery. I'd read reviews on the B&N site and, I believe, on Amazon as well, about B&N's horrific so-called Customer Service. I can see now, from experience, that the horror stories are true. So if you buy a Nook from B&N and get a lemon, as can happen with any e-device, you're going to find yourself quite alone with your problem. Whatever the merits of the Kindle, I know from experience that Amazon Customer Service lives up to its name. B&N Customer Service is essentially an insult to customers. I don't work for either company. I'm just a customer with a brand-new defective Nook Simple Touch, and I can't get any help from B&N. So if you look at the numbers and see that Kindles far outsell Nooks, B&N's misnamed Customer Service is likely at least part of the reason.",1.0,1400532736,1378252800,Barnes and Noble Customer Service? Not happening.
"I enjoyed the original Nook. I thought this would be a great device, especially since it received such positive responses from reviewers on several sites.I've had the Nook (3 of them, actually) and am returning it before my 14 day window is up.First, the buttons are annoying to use. I like having the option to tap the screen, but I'd rather keep it as clean and clear as possible. Simply hard to press the buttons down. They don't seem to be getting any easier after finishing a book.Second, and most importantly, is the contrast and quality of the screen. Different letters are darker than others on every page, within words, and they change every time I go to the next page and back. I thought it might have just been something weird with the files, or formatting, so I played around and did the troubleshooting. Nope. It's just horrible to look at.After having 3 with the same problem, I'm going to just send it back. No need to go through that cycle and then be stuck dealing with the awful customer service. It's too bad; I really wanted to support Barnes and Noble by using their reader.Note: I put this review on the B&N; site, and they removed it for somehow violating their terms. Well, okay then.",1.0,140053271X,1327881600,Poor screen quality and service
"JR Music and Amazon must be KIDDING to think that they do not need to have a policy to make it obvious that this is a USED product.  To bury the fact that this item is ""reconditioned"" at the very BOTTOM of a multi-page description instead of in the TITLE or first line is deceitful!  They are selling used goods as new and treating the fact that this item is used as part of a disclaimer buried so far down that they know most people will not notice it.",1.0,B00000JD4T,1169078400,DECEITFUL SELLERS = JR MUSIC & Amazon
"After reading the reviews on here I was hesitant to use the product I had just purchased. But I figured what could I lose - it was already skipping and if this didn't work, I'd just buy a new copy.Well I'm here to tell you that if you plan to use this on anything important, forget it. The CD was left with more scratches than before (the ""protective"" pad actually MAKES scratches WORSE than a paper towel...) and it's just a horrible product. I followed the directions to a T. Thanks Maxell for wasting my money and my time.",1.0,B00000J1E6,1142121600,Just awful
"These are not the real deal. They are fakes. The so called 40mm diaphragm don't sound good at all. I've had a real pair of V600s, and they sound 300% better than these.Do not waste your time or money on this product..",1.0,B00001W0DI,1391040000,Don't buy!!!
"I had a bad experience with my Bushnell purchase, and the customer service at Bushnell is terrible, you just receive form emails back all the time.",1.0,B00004SABJ,1341360000,"I bought this, and regret it."
"Mounting a 42 inch LG TV weighing 33 poundsPROLess expensivePrevious purchase of VideoSecu productAppeared solid and strongHad tilt and various adjustmentsMount on single studCONSagging..this is amazing that it sags and does so at different angles based on how far the TV is pulled out from the wallTherefore one cannot keep the TV properly aligned because any movement changes the tilt or other angles.Mounting is a pain because the mounting bracket never comes apart from the articulation armCritical bolt attachment for the mount from the TV to the articulation arm does not get tight!  This is amazing. It is not stripped but it does will not stay tight even from the first use.  This makes the product unsafe.I am amazingly frustrated bordering on angry because of the time put into this and now holes in the wall.  I need to get a different one.  My prior experience was with a VideoSecu MW380B TV wall articulating mount, which is far superior for a larger TV.  I bought this other one because I wanted a tight fit to the wall.Can I send a bill for my time and work putting it up and taking it down?????",1.0,0972683275,1386547200,Sags Sags Sags....and the hardware does not work properly.
"I bought this model because it was cheaper than the Sparkplug model in white with an L-shaped plug. Well, the straightness of the plug couldn't withstand normal use, and the audio stopped working because the junction between the wire and the hard part of the plug probably got bent back and forth too much. Good sound and sound-blocking, but not durable if you plan to move your MP3 player in and out of your pocket.",1.0,B00001P4XA,1239753600,"Poor model, not durable, stopped working after 6 mos"
This thing is a dinosaur at this point. Are they even selling it? I wouldn't waste my money on it.,1.0,B00004RC2D,1384732800,"old, old, old"
"Good sound isolation, too much bass for realistic sound, might be ok if you only listen to disco...very uncomfortable after about 30 minutes.",1.0,B00001P4XA,1208649600,one side failed after about 3 months
"I would have given this 0 stars but that didn't appear to be an option on the Amazon.com form.  After seeking through the entire SW band three different times, at different times of the day and night, all I got was  BBC, and that only once, and some religious broadcasts.  I would have been  very happy to get stations from just Canada and Mexico, but no such luck.  It's a very nice AM/FM radio with some spiffy features like a sleep timer,  but my hope was to receive international broadcasts, and I am returning it  because it simply did not do that.",1.0,B0000226L0,947030400,A big disappointment
"I got this radio November 9th, and am not pleased. The reception isn't that great, and the F.M. has too much override; where you hear the same station on adjacent frequencies. Unless it's a very strong station, you have to tune away from the nearby station to get anything. Sangean could've done better.",1.0,B0000226QJ,1131926400,"Wasn't What I Expected,"
"Let me get right to the point.  When this DVD player was working, it worked well.  Good picture quality, reliable service, reasonable remote.  WHEN it worked...Unfortunately, this particular generation of Sony products falls victim to Sony's perplexing high failure rate and infant mortality problems.  After only six months of very moderate use, suddenly the unit refused to play newer DVDs (instead, displaying an &quot;Insert Disc&quot; message).  Soon thereafter, we got the dreaded &quot;C:13&quot; error on the screen and front panel of the player, indicating that the unit had essentially failed.  Now, I can play a few older, single-layer DVDs, but not newer dual-layer DVDs.  In researching the C:13 error via Google, it appears that Sony refuses to recognize the MASSIVE number of people experiencing this problem.  Now, it appears that some class-action lawsuits may be headed Sony's way from some very upset customers.  I am certainly one of them.So, caveat emptor.  Sony certainly is an innovative company, but their quality control and longevity engineering is woeful as evidenced by the huge number of failures experienced by this product.  Thus, I offer a resounding one star for poor performance by Sony.",1.0,B00000JSES,1085961600,Good picture -- when it works...
"I use a headset every day. The first one stopped working within a month, got it replaced (I have to pay for the return shipping) and the second one stopped working in a week (still have to put a warranty claim in). Decided to spend a few extra dollars and purchased the Plantronics HW261N Binaural Headset with the Plantronics 18straight Cable - Quick Disconnect To 2.5 Mm Plug,",1.0,B00001W0EQ,1363996800,Poor quality - stops working
What they don't tell you is that the item works with very limited OS systems and there hasn't been a firmware update forever to accommodate newer OS.  Sent this back right away.,1.0,B00004SB96,1388793600,JUNK
"Look at the price folks. That says it all! Unless you need this lens for a special reason then don't bother. If you know how to use this lens then go for it. But, as I stated before, look at the price. There is a good reason why it's cost is a lot lower than the IS lenses. If you are going the distance and paying for a state of the art camera then don't ask it to use old types of lenses and expect spectacular results.",2.0,B00004THCZ,1294704000,To old for today's cameras
"Not as good as the built in mic of my Nexus 4, which I was looking to improve. There's some static on all recordings, and I'm not sure what to do about it. It was cheap, so I'm not too broken hearted about it...",2.0,9625993428,1384387200,Not better than Nexus 4 internal mic.
"The wireless modem/phone jack idea is a great one, but it rarely works the way it is intended.  Whether it's interference from other electronics, old house wiring, or any number of things, it tends to have a poor signal resulting in a bad connection.  If you're using this for either a modem, security system that requires a phone line, or a telephone jack, it's likely not going to give you the results you want.  My recommendation would be to go ahead and have a phone drop and jack installed and call it a day.  It may be a more expensive option, but it's by far the best one.",2.0,B00000J0D5,1358726400,Skip it and have a line installed
"After upgrading to all Gigabit networking, I ended up using this router as a small local router for my Tivo.  It was fine for several years and then it just died a few days ago.  Only port 5 shows activity any longer - ports 1-4 are dead.  I've never had a router fail like this before (and I have 5 in my current home network in various places all over the house).I was using the original transformer that came with it and measured the voltage - it was pumping out 10.6v under no load and 9.5v when connected to the Linksys.  That's 26% over the proper voltage (7.5v)!  It's quite possible that over-powering the unit during it's lifetime would have shortened its life.",2.0,B00003006E,1281657600,Random death
"By trying to be all things to all people, this headset is a compromise.  If you just want something to wear over your head you'll find Plantronics M214C to be better, and half the price.  Get that instead.(Just to be clear, I do own both this and the M214C).",2.0,B00001W0EQ,1261440000,Get an M214C instead if you want to wear it over the head...better and half the price
"I have tried HP and Casio Palm PC's and returned thenm both.  While both are very impressive, they don't fill me needs.I want a small device that will allow me to keep my schedule, check contacts, keep a to-do list, and  jot an occasional note.  I don't need a box that tries to do everything, is  slow, and is clumsy to use. The interface really isn't conducive to editing  spreadsheets or documents. I don't have time to play with the media player,  and the thing is too big to slip in my pockcet.I really wanted to like  these devices, but I will stick with my trusty Palm.",2.0,B00004TDL2,958435200,It all depends on what you what......
It accepts up to 32gb micro sd cards but does not work properly with a 32gb card. Mine would not boot because the card used too much energy. That was the only issue I had. Customer service told me to unplug the card before booting up and then insert the card. I returned it and purchased a Samsung Galaxy Tab 7.0 plus.Funny thing is Barnes and Noble rrjected my review.,2.0,1400501466,1322697600,Memory Card Issues
"The one I ordered arrived not working. I see from the reviews that this happens fairly frequently. Buying one of these appears to be a roll of the dice.UPDATE:  After returning this item and buying a USB floppy drive from a different manufacturer, I learned that on my OS (Windows 7) that the drive will probably not automatically appear. You have to open the Start menu and choose Computer, and then click the icon for the A drive, to ""activate"" the USB floppy drive. If you then double-click the A icon, you can see the files on any floppy that's inserted into the drive.The Sabrent drive may well have been a fully functioning drive; I just didn't know about this little workaround at the time.",2.0,B00000JI4F,1398470400,Dead on arrival - or is it?
"I'm tired of this quality! I don't even remember owning this, it lasted so short.It's a crap shoot how long they'll last. 2 years? 1 year? 6 mos?",2.0,B00004SB92,1387670400,This is consumer grade.
"Replaced my ancient surge protector with this power strip that acts not only as a surge protector, but power conditioner.  Does it really work?  I have no idea.  My municipal utility has always delivered high quality power, so I have no idea if the power conditioning is adding any value.  Just a leap of faith on my part.  I can't notice any difference in my picture quality. I figure it can't hurt and can only help.I do like the ergonomic features.  Certainly color coding and labeling of which plug is for what piece of equipment is great! No more searching for the right plug.  I also like the fact that they provided 2 widely spaced plugs so wall-warts can fit.  Those design features are certainly worth a premium over your average power strip.UPDATE:  2 years after purchasing, the thing completely died on me.",2.0,B00003CWDQ,1204070400,"It works, I guess."
"I purchased these headphones before traveling to Europe for a couple weeks and the headphones worked great.  The sound quality of the phones was good quality and the comfort was very nice.  The battery powered noise cancellation was also a bonus and it worked very well on the airplane as well as on trains.  I used it on both flights with great relaxation and I also used it on the Chunnel and some subways with continued satisfaction.The weight, length of cord, and fold up feature all made these headphones ideal for traveling.Unfortunately they just are not sturdy or durable.  They are made of plastic and feel very fragile.  I was always very worried of breaking them in my bag or when putting them in the storage pouch.  But worse than their structural durability is that the wiring used is exposed to stress when folded up.In other words the cord is pinched when the phones are folded up and this is a terrible design.  After only about a month, one of the wires split and I lost the right headphone completely.  And forget about trying to fix it as it is virtually impossible to remove and repair the wire without destroying the casing.I am very disappointed in the lifespan of these headphones and will not be buying from this company again.  If not for the poor design these would have been great headphones for the price.",2.0,B00000J1EJ,1236556800,Good product if it could last...
"I'm giving these binoculars two stars because the price is so low.  It's hard to complain about 25 dollar binoculars,  but I will anyway.The glass is very foggy.  It feels like I'm looking through plastic toy binoculars.  After spending 10 minutes with these, my eyes feel tired and strained.Also, the quality is so poor, that they won't stay focused.  The dial that allows you to focus the right eye is very loose, and requires constant adjustment.Yes, they were cheap...  but what is the point if you can hardly use them?",2.0,B00004SABB,1360886400,Junk!
"I bought this product, and after setting it up and configuring a Linksys card, (just over 4.5 hours later) it worked beautifully.... that is until a few days ago.  It started freezing up, and then yesterday I returned to find a router that does not work.I have now spent 12+ hours and talked to 6 expert techs that have no idea how to fix this problem.  Most of the &quot;experts&quot; are less skilled in computer networking than I am and I am a film director.  Additionally, the software does not fire correctly, and once on the wrong path is not recoverable.Therefore, I would be very weary of jumping in.  When it works, it is beautiful, but when it crashes you are abandoned and without support or help....  Make your decision.",2.0,B00004SB92,970704000,Big Troubles when the wall crumbles
"I used to have a lot of respect for TEAC products, but some years back they took the cheaply-made consumer electronics route and it's been downhill ever since. That said, this is a decent machine, and I enjoyed it during its short life. Shortly after my warranty expired (of course), I accidentally bumped the CD tray when it was open one day, knocking the gears and everything out of whack, and it was all over....never could get the tray to go back in right or the CD door to stay closed. The unit is now with a pile waiting to go to the dump and was essentially a couple hundred bucks flushed down the toilet. Handle with care!!",3.0,B00001OPJQ,1263513600,Nice unit.....but be extremely careful...
"The Nook Color is a mixed bag of a product with some highs and lows.The hardware on the Nook Color is very nice.The screen, though not a super hi-def retina like high end tabs, is bright and great for books, video, comics, etc.  It feels solid and sturdy but not overly heavy.  A nice addition is the SD Card slot hidden in the back which can be used to expand storage or, if you're resourceful (or purchase a Nook 2 Android card) convert your Nook into a full-fledged Android tablet on the cheap.The Interface in the Nook Color is adequate but not amazing.Barnes and Noble created their own ""flavor"" of Android for this reader.  While it's not highly customization or super elegant it's well suited for the intended purposes of this tablet: media consumption.  As noted above, this reader can run full Android quite well if modded, and still run a Nook App.Lackluster AppsApp support for this reader is very spartan.  You'll find some simple games, Netflix (finally) and a few others, but it's not a lot to write home about.If you want a simple reader with a nice screen for ereading, this isn't a bad buy if you can get one at a good price (I wouldn't pay more than 110 at the moment).  Otherwise, it's a great Android tablet if you mod it yourself or take the safer route of using a Nook 2 Android card).",3.0,1400532655,1354147200,"Quality Hardware, Decent Interface, Lackluster App Support"
"I bought this at Amazon.com after reading good reviews.  The one I have is mono and not stereo, and you use it with earbuds or rather only one earbud.  You can also use with earbuds.On the beach, you get much static and not great sound quality.It replaced a Coby that had great sound but broke within a relatively short period of time.",3.0,B00004T1XE,1312243200,POOR RECEPTION ON BEACH
"I buy this mp3 player in december last year, but 5 months later i discover some bugs (i primaly use it in the car stereo), it takes too much time to start playing mp3's, the resume feature don't works all the time, it skips some files in playing, from time to time an error ocurs and it reset the play to the first song of the first album, in the car is kind of dificult to operate it, if you want a mp3 for the car i recomend you one with remote control, besides the ESP works fine even in rocky roads",3.0,B00004UE2R,989452800,Good but got some bugs
"It doesn't fit my existing cases but I will find a way to use it, either a binder or a hole puncher may be the solution.",3.0,B00004TZFM,1373241600,Does not fit any of my cases
"Believe it or not, some of us still use VHSOnly because we are digitizing them now. Converting an analog tape to digital media takes its toll on a VCR and the heads get dirty beyond recognition. Eventually I'll have to tear down my deck to clean it properly but for now this cleaning tape really helps",3.0,B000001ON6,1348185600,Dinosaurs do exist
"i definitely prefer the radio shack ties because you can adjust the tie to the size of the tie to the cable, and the whole strip is velcro so no extra cable hangs off of the bundle.  but these are a little cheaper and work most of the time too.",3.0,B00000J1SC,1295222400,better options available
"I have been using these headphones for 3 months.  They are comfortable and durable. I am using them in my Sangean DT-120 radio.  The cord is about 4 feet long so you can put the radio in your pocket and still havde plenty of length remaining.  The headphones are adjustable to fit various head sizes.  I have worn them over a hat.  The main disappointment is the sound level.  The stereo quality is adequate, but I have to turn up the volume on my radio to almost full to get a suitable listening level when outside to compensate for outside noise (traffic etc.). By comparison, my Sony earbuds give the same sound volume at 1/4 of the sound level on my radio.  These headphone have a high impedence level (24 ohms).  Could this be the cause?  I'm not an electronics expert, but I have not seen this high of an impedence on other headphones.To conclude, the headphones were very cheap. Less than $5.00.  For the money they are a good buy.  If you intend to use them for talk radio or listening to sports, they will done fine.  If you intend to listen to music, then I would invest in better quality.",3.0,B00004T8R2,1308268800,Panasonic RP-HT21 Headphones
"Didn't see that they were any better than other buds I have. Again, OK for the money. yo yo yo",3.0,B00001P4XA,1393977600,OK
"I own the original Nook e-ink reader and the Nook tablet.  I have been happy with both.  When I read all the wonderful reviews about the Nook HD+ I couldn't wait to buy one.  The main reason that I bought the reader is that my vision has deteriorated over the years to where I need at least 16 point type.  The availability of different sized type on the reader devices is very welcome.  I use the tablet, not only for reading, but to watch Netflix movies while on my exercise bike.  The Nook tablet works okay for that, but the larger display of the HD+ seemed that it would be an improvement.  However, there are several problems with the current edition:There needed to be at least one more font size at the high-end.  I had to choose between too small and too large.The sound level was too low, even with headphones.  I could not find a Barnes and Noble application to provide better control over the volume.  There are a number of third-party applications which used to work on the Nook tablet that are now locked out by the current OS version.So, in spite of the beautiful display, I reluctantly returned the HD+ to my local store.  When planning future upgrades.  I would advise Barnes & Noble to consider the needs of older customers and people with disabilities.  We are not an insignificant market segment.",3.0,1400501466,1354320000,Not for senior citizens
"Based on people's descriptions, I would guess that about half of these reviews were meant for the MDR-V6. The MDR-V6 is the one that is comparable to the mdr-7506, NOT the v600. If you are not familiar with the MDR line, I can understand how easy it is to confuse the model numbers. I own the V6 and my brother owns the MDR-7506 and i have directly compared these and found that are identical physically from what I can tell aesthetically and both have near identical sound. The MDR-V600 can be described as the black sheep in the family, since it looks, feels, and sounds very different than its more accomplished siblings.The MDR-v600 is much bigger and bulkier than both the V6 and the mdr-7502. While it uses similar drivers, It has a huge earcup and large foam paddings that color the sound. Most noticeable is overbearing amount of bass this thing gives out, which drowns out the mids. This would account for some of muddiness that other reviewers have described. So how this headphone got to be called studio monitors is beyond me. This headphone is more like a pair of v6 that was modified to meet the mainstream demands of bassheads. Whereas v6 was half metal/half plastic, the v600 is all plastic. On the plus side, the huge earcups do help isolate sound a little better than the V6/7502.If you want accurate sound that you can actually use as monitors, stick with the tried and true Sony models such as the v6 or 7502. Since the late 80's, these were among the most widely used monitor headphones in the TV and radio industry.",3.0,B00001W0DI,1115337600,Sony MDR-V600 does not equal MDR-V6
Got this for our student to practice whiteout any hassles.Decent material at the right price and it works!  Thank you Yamaha and Amazon!( but I'm still unhappy about needing to buy a power cord).,3.0,B00000JBHP,1403049600,"Price is right and it works,"
"This is a basic am/fm clock radio if that's what you need, it looks nice sounds nice, and works however if you need single sideband you need to look at the ATS 909.",3.0,B0000226L0,1277683200,a basic radio
"For the price, who can resist? It offers the zoom you need at an affordable price. Yes at 300mm the optics are a little iffy and image stabilization would be a plus, but you get what you pay for. I got this lens new for $105 so I'm not one to complain about its optical performance. I get the zoom I need and I'm content. I'll find ways to work out the hand-held shakiness at 300mm by making sure I can have a fast shutter speed. Obviously you can't correct it's optical quality, so what I recommend; get the lens now if you need the zoom and sell it when you're ready to buy a better telephoto zoom. If you don't need the zoom now; keep saving for a higher quality lens.",3.0,B00004THCZ,1324771200,"You get what you pay for, but that's not such a horrible thing."
